URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_1318185031_sccl_1/000-0000000-0000000?psc=1,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",178.0,0.63,0.24,0.08,0.03,0.02,4.4,6378.0,"https://m.media-amazon.com/images/I/51y5Gl9UZLL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_1318185031_sccl_4/000-0000000-0000000?psc=1,"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",227.0,0.66,0.23,0.09,0.01,0.01,4.5,995.0,"https://m.media-amazon.com/images/I/612ydZR-ggL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_1318185031_sccl_5/000-0000000-0000000?psc=1,Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,50.0,0.84,0.11,0.03,0.01,0.01,4.8,15017.0,"https://m.media-amazon.com/images/I/310ILDQr5lL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_1318185031_sccl_6/000-0000000-0000000?psc=1,How to Win Friends and Influence People,108.0,0.66,0.22,0.07,0.02,0.03,4.5,95410.0,"https://m.media-amazon.com/images/I/51TYGq2X7rL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_1318185031_sccl_7/000-0000000-0000000?psc=1,Word Power Made Easy [Paperback] Norman Lewis,93.0,0.65,0.21,0.07,0.02,0.04,4.4,45765.0,"https://m.media-amazon.com/images/I/51uqB0IaBVL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_1318185031_sccl_8/000-0000000-0000000?psc=1,Word Power Made Easy By Norman Lewis (More than 700 Pages),97.0,0.65,0.21,0.07,0.02,0.05,4.4,1052.0,"https://m.media-amazon.com/images/I/516+p71DMSL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Phonic-Reader-Illustrated-Set-Books/dp/9394668772/ref=zg_bs_1318185031_sccl_9/000-0000000-0000000?psc=1,"Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud to Infants, Toddlers",155.0,0.5,0.24,0.15,0.07,0.04,4.1,34.0,"https://m.media-amazon.com/images/I/61HIHkV8lwL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_1318185031_sccl_10/000-0000000-0000000?psc=1,vashista 360 spoken english book,299.0,0.57,0.23,0.1,0.03,0.07,4.2,7198.0,"https://m.media-amazon.com/images/I/51oumidxYDL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Power-Positive-Thinking-Norman-Vincent/dp/0091906385/ref=zg_bs_1318185031_sccl_11/000-0000000-0000000?psc=1,Penguin Random House The Power Of Positive Thinking,51.45,0.61,0.21,0.08,0.03,0.06,4.3,8240.0,"https://m.media-amazon.com/images/I/51DbQomMbKL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/First-Alphabet-Numbers-Colours-Shapes/dp/9387779564/ref=zg_bs_1318185031_sccl_12/000-0000000-0000000?psc=1,My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,166.95,0.61,0.24,0.08,0.03,0.04,4.3,4411.0,"https://m.media-amazon.com/images/I/51G9L-ZxhfL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
