URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_1318188031_sccl_1/000-0000000-0000000?psc=1,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",179.55,0.81,0.12,0.03,0.01,0.03,4.7,458.0,"https://m.media-amazon.com/images/I/41RwQlo446L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_1318188031_sccl_2/000-0000000-0000000?psc=1,"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",178.6,0.71,0.2,0.06,0.01,0.01,4.6,44746.0,"https://m.media-amazon.com/images/I/51xwGSNX-EL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_1318188031_sccl_3/000-0000000-0000000?psc=1,LIFES AMAZING SECRETS,70.0,0.73,0.19,0.05,0.01,0.02,4.6,20411.0,"https://m.media-amazon.com/images/I/51PJyvcfPGL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Bhagvad-gita-as-english-new/dp/9384564192/ref=zg_bs_1318188031_sccl_5/000-0000000-0000000?psc=1,Bhagvad Gita As It Is English New Edition,283.72,0.84,0.1,0.03,0.01,0.02,4.7,9120.0,"https://m.media-amazon.com/images/I/511Hw7p0V0L._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_1318188031_sccl_6/000-0000000-0000000?psc=1,Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,50.0,0.84,0.11,0.03,0.01,0.01,4.8,15017.0,"https://m.media-amazon.com/images/I/310ILDQr5lL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Power-Subconscious-Premium-Paperback-Penguin/dp/0143453602/ref=zg_bs_1318188031_sccl_7/000-0000000-0000000?psc=1,"The Power of Your Subconscious Mind (PREMIUM PAPERBACK, PENGUIN INDIA)",79.8,0.67,0.21,0.07,0.02,0.03,4.5,4150.0,"https://m.media-amazon.com/images/I/41WX6XCA5QL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X/ref=zg_bs_1318188031_sccl_9/000-0000000-0000000?psc=1,The Monk Who Sold His Ferrari,49.0,0.69,0.21,0.06,0.02,0.02,4.5,29641.0,"https://m.media-amazon.com/images/I/410BqHSamiL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_1318188031_sccl_10/000-0000000-0000000?psc=1,The Power of Your Subconscious Mind,15.0,0.68,0.21,0.07,0.02,0.03,4.5,69048.0,"https://m.media-amazon.com/images/I/41+CqNWoutS._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/ShrimadBhagavadGita-%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%97%E0%A4%B5%E0%A4%A6%E0%A5%8D%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%BE-%E0%A4%AD%E0%A4%BE%E0%A4%97-%E0%A5%A7-Acharya-Prashant/dp/9392657579/ref=zg_bs_1318188031_sccl_11/000-0000000-0000000?psc=1,ShrimadBhagavadGita Bhaag 1 / श्रीमद्भगवद्गीता भाग-१ By Acharya Prashant,100.0,0.92,0.04,0.02,0.01,0.01,4.9,405.0,"https://m.media-amazon.com/images/I/414dQBVCFCL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_1318188031_sccl_12/000-0000000-0000000?psc=1,THE 48 LAWS OF POWER,304.0,0.75,0.16,0.06,0.01,0.02,4.6,13822.0,"https://m.media-amazon.com/images/I/411yaMigwbL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=zg_bs_1318188031_sccl_13/000-0000000-0000000?psc=1,Aapke Avchetan Mann Ki Shakti (The Power Of Your Subconscious Mind In Hindi),99.0,0.66,0.2,0.08,0.02,0.03,4.4,12377.0,"https://m.media-amazon.com/images/I/41T3c-PrQnS._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd1&url=https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845/ref=zg_bs_1318188031_sccl_17/000-0000000-0000000?psc=1,Inner Engineering: A Yogi’s Guide to Joy - English [Paperback] Sadhguru,75.0,0.73,0.18,0.05,0.01,0.02,4.6,19163.0,"https://m.media-amazon.com/images/I/51nVWx23RvL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
