URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Kunex-Starts-Us-Ends-Novel/dp/B0BQP3Y7GM/ref=zg_bs_1318168031_sccl_7/000-0000000-0000000?psc=1,Kunex It Starts With Us + It Ends With Us: A Novel: Volume 1 (Set of 2 Book,186.5,0.54,0.15,0.08,0.08,0.15,3.9,28.0,"https://m.media-amazon.com/images/I/51TtGRx7xgL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_1318168031_sccl_11/000-0000000-0000000?psc=1,It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',229.0,0.72,0.16,0.05,0.02,0.04,4.5,208012.0,"https://m.media-amazon.com/images/I/51Zu0ZwT0jL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Starts-Us-Colleen-Hoover/dp/1398518174/ref=zg_bs_1318168031_sccl_16/000-0000000-0000000?psc=1,Kunex It Starts With Us Paperback for Colleen Hoover,256.5,0.68,0.18,0.08,0.02,0.05,4.4,85590.0,"https://m.media-amazon.com/images/I/51W-r3VQlAL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/You-Only-Live-Once-Friendship/dp/0143453580/ref=zg_bs_1318168031_sccl_20/000-0000000-0000000?psc=1,You Only Live Once,156.94,0.64,0.22,0.08,0.03,0.03,4.4,3135.0,"https://m.media-amazon.com/images/I/413OgI8KzuL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/One-Day-Life-Will-Change/dp/9389717841/ref=zg_bs_1318168031_sccl_29/000-0000000-0000000?psc=1,"One Day, Life Will Change: A story of love and inspiration to win life when it hits you hard . . .",115.9,0.65,0.23,0.07,0.02,0.04,4.4,2062.0,"https://m.media-amazon.com/images/I/418ky++EMuL._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938/ref=zg_bs_1318168031_sccl_30/000-0000000-0000000?psc=1,SEVEN HUSBANDS OF EVELYN HUGO,200.45,0.68,0.21,0.06,0.02,0.02,4.5,151237.0,"https://m.media-amazon.com/images/I/41x4eg5KyGL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/When-Am-You-Durjoy-Datta/dp/0143448358/ref=zg_bs_1318168031_sccl_5/000-0000000-0000000?psc=1,When I Am With You,105.45,0.74,0.16,0.05,0.02,0.03,4.6,624.0,"https://m.media-amazon.com/images/I/61R-HtwVuYL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Independence-Chitra-Banerjee-Divakaruni/dp/9356294585/ref=zg_bs_1318168031_sccl_2/000-0000000-0000000?psc=1,Independence,251.55,0.63,0.23,0.09,0.01,0.03,4.4,276.0,"https://m.media-amazon.com/images/I/51AmkgkFucL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Touch-Eternity-Datta-Durjoy/dp/014344834X/ref=zg_bs_1318168031_sccl_3/000-0000000-0000000?psc=1,"A Touch of Eternity by Durjoy Datta: Book on Love by Durjoy Datta | Fictional Book for Young Adults, Penguin Book",125.55,0.62,0.19,0.1,0.04,0.05,4.3,2647.0,"https://m.media-amazon.com/images/I/51ben7xI6ZL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Worlds-Greatest-Classics-Box-Books/dp/9354401570/ref=zg_bs_1318168031_sccl_7/000-0000000-0000000?psc=1,World’s Greatest Classics (Box Set of 4 Books),69.0,0.69,0.21,0.06,0.02,0.03,4.5,1964.0,"https://m.media-amazon.com/images/I/51eyNnHQyDL._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Love-Hypothesis-Tiktok-made-romcom/dp/1408725762/ref=zg_bs_1318168031_sccl_10/000-0000000-0000000?psc=1,THE LOVE HYPOTHESIS: The Tiktok sensation and romcom of the year!,176.7,0.68,0.22,0.08,0.02,0.01,4.5,44367.0,"https://m.media-amazon.com/images/I/41jkpIDp7gL._SY344_BO1,204,203,200_.jpg"
