Title,URL,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
Oswaal CBSE Sample Question Papers Class 10 Science Book for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Question-Science-released-September/dp/9356343373/ref=zg_bs_4149807031_sccl_2/000-0000000-0000000?psc=1,166.4,0.65,0.18,0.06,0.03,0.08,4.3,246.0,"https://m.media-amazon.com/images/I/51I1lY26u1L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
"Oswal - Gurukul Commerce Stream Last Years 10 Solved Papers for CBSE Class 12 Exam 2023 - Yearwise Board Solutions (Maths, Accts, Economics, Business Studies, Eng & Phy. Edu (All Sets Delhi & Outside)",http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswal-Commerce-Yearwise-Solutions-Economics/dp/9395025077/ref=zg_bs_4149807031_sccl_5/000-0000000-0000000?psc=1,672.0,0.57,0.21,0.06,0.06,0.1,4.1,60.0,"https://m.media-amazon.com/images/I/51QVcnexPJL._SY344_BO1,204,203,200_.jpg"
Wren And Martin -high School English Grammar,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_4149807031_sccl_6/000-0000000-0000000?psc=1,263.15,0.66,0.21,0.07,0.02,0.04,4.5,11170.0,"https://m.media-amazon.com/images/I/41ySgG2G9cL._SY344_BO1,204,203,200_.jpg"
Oswaal CBSE Sample Question Papers Class 10 Mathematics Standard Book for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Question-Mathematics-Standard-released-September/dp/9356343284/ref=zg_bs_4149807031_sccl_8/000-0000000-0000000?psc=1,144.8,0.61,0.25,0.07,0.02,0.05,4.3,249.0,"https://m.media-amazon.com/images/I/51HXTSaDM4L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
Oswaal CBSE Sample Question Papers Class 10 Social Science Book (For 2023 Exam),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Sample-Question-Papers-Science/dp/9356343268/ref=zg_bs_4149807031_sccl_9/000-0000000-0000000?psc=1,167.2,0.69,0.19,0.05,0.02,0.05,4.5,163.0,"https://m.media-amazon.com/images/I/51zdget2fqL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
"Oswal - Gurukul 10 Years Solved Papers for ICSE Class 10 Exam 2023 - Comprehensive Handbook of 17 Subjects - Yearwise Board Solutions, Revised Syllabus",http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswal-Comprehensive-Handbook-Subjects-Solutions/dp/9395025107/ref=zg_bs_4149807031_sccl_11/000-0000000-0000000?psc=1,655.2,0.68,0.19,0.07,0.02,0.05,4.4,327.0,"https://m.media-amazon.com/images/I/51wP18vhAFL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
Oswaal CBSE Sample Question Papers Class 10 Hindi B Book for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Sample-Question-released-September/dp/935634325X/ref=zg_bs_4149807031_sccl_18/000-0000000-0000000?psc=1,144.8,0.7,0.21,0.04,0.03,0.02,4.5,83.0,"https://m.media-amazon.com/images/I/515iqQQj7dL._SY344_BO1,204,203,200_.jpg"
"Oswal - Gurukul Last Years 10 Solved Papers for CBSE Class 10 Exam 2023 - Yearwise Board Solutions of Math Standard, English, Science & Social Science (All Sets Delhi & Outside), Latest Syllabus",http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswal-Yearwise-Solutions-Standard-Syllabus/dp/9395025018/ref=zg_bs_4149807031_sccl_21/000-0000000-0000000?psc=1,377.6,0.65,0.21,0.05,0.03,0.06,4.4,504.0,"https://m.media-amazon.com/images/I/51Hg51HeswL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
Oswaal CBSE Sample Question Papers Class 12 Business Studies for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Question-Business-Studies-released-September/dp/9356343608/ref=zg_bs_4149807031_sccl_27/000-0000000-0000000?psc=1,144.8,0.72,0.17,0.03,0.04,0.04,4.5,61.0,"https://m.media-amazon.com/images/I/516gtpql1-L._SY344_BO1,204,203,200_.jpg"
Oswaal CBSE Sample Question Papers Class 12 Physics for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Question-Physics-released-September/dp/9356343551/ref=zg_bs_4149807031_sccl_1/000-0000000-0000000?psc=1,195.2,0.68,0.18,0.02,0.04,0.09,4.3,103.0,"https://m.media-amazon.com/images/I/51RGO6zbjiL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
