URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211/ref=zg_bs_4149708031_sccl_1/000-0000000-0000000?psc=1,"Brief History Of Time, A (L)",156.0,0.72,0.2,0.05,0.01,0.02,4.6,19706.0,"https://m.media-amazon.com/images/I/51SWYYvk+KL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=zg_bs_4149708031_sccl_4/000-0000000-0000000?psc=1,Physics Galaxy 2020-21 : Advanced Illustration in Physics,370.0,0.75,0.16,0.03,0.02,0.04,4.6,1450.0,"https://m.media-amazon.com/images/I/41KzdOwOjZL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Chapterwise-Topicwise-Solved-Papers-Physics/dp/9355553447/ref=zg_bs_4149708031_sccl_6/000-0000000-0000000?psc=1,MTG CBSE 10 Years Chapterwise Topicwise Solved Papers Class 12 Physics - CBSE Champion For Exam 2023,319.0,0.63,0.24,0.06,0.02,0.06,4.4,126.0,"https://m.media-amazon.com/images/I/515G0Af5k5L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_4149708031_sccl_7/000-0000000-0000000?psc=1,Behave: The bestselling exploration of why humans behave as they do,398.05,0.73,0.18,0.04,0.02,0.03,4.6,6218.0,"https://m.media-amazon.com/images/I/51CjTBRdzpL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/CHAURASIAS-HANDBOOK-GENERAL-ANATOMY-2020/dp/8194125413/ref=zg_bs_4149708031_sccl_8/000-0000000-0000000?psc=1,Bd Chaurasias Handbook Of General Anatomy 6Ed (Pb 2020),311.0,0.75,0.18,0.05,0.01,0.02,4.6,2065.0,"https://m.media-amazon.com/images/I/41o4Eud0SPL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Vedic-Mathematics-Made-Dhaval-Bathia/dp/8179924076/ref=zg_bs_4149708031_sccl_9/000-0000000-0000000?psc=1,"Vedic Mathematics Made Easy, 2nd Edition",95.82,0.59,0.24,0.09,0.03,0.05,4.3,1757.0,"https://m.media-amazon.com/images/I/51WWuptl6tL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Chapterwise-Topicwise-Solved-Papers-Chemistry/dp/9355553528/ref=zg_bs_4149708031_sccl_10/000-0000000-0000000?psc=1,MTG CBSE 10 Years Chapterwise Topicwise Solved Papers Class 12 Chemistry - CBSE Champion For Exam 2023,230.0,0.63,0.26,0.05,0.03,0.04,4.4,137.0,"https://m.media-amazon.com/images/I/51NfG4dWUyL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Handbook-Physics-Chemistry-Mathematics-Books/dp/B084JY8PHN/ref=zg_bs_4149708031_sccl_11/000-0000000-0000000?psc=1,"Handbook of Physics, Chemistry, Mathematics (Set of 3 Books)",456.0,0.63,0.22,0.09,0.01,0.03,4.4,320.0,"https://m.media-amazon.com/images/I/41yk8eSRT9L._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Chapterwise-Topicwise-Solved-Papers-Mathematics/dp/9355553838/ref=zg_bs_4149708031_sccl_12/000-0000000-0000000?psc=1,MTG CBSE 10 Years Chapterwise Topicwise Solved Papers Class 12 Mathematics - CBSE Champion For Exam 2023,183.75,0.69,0.19,0.04,0.03,0.04,4.5,208.0,"https://m.media-amazon.com/images/I/51S4EhTZxEL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_4149708031_sccl_13/000-0000000-0000000?psc=1,Black Holes: The Reith Lectures,19.0,0.68,0.2,0.07,0.02,0.03,4.5,7092.0,"https://m.media-amazon.com/images/I/510rVsyxv0L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
