URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_1318203031_sccl_1/000-0000000-0000000?psc=1,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",179.55,0.81,0.12,0.03,0.01,0.03,4.7,458.0,"https://m.media-amazon.com/images/I/41RwQlo446L._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_1318203031_sccl_2/000-0000000-0000000?psc=1,The Power of Your Subconscious Mind,15.0,0.68,0.21,0.07,0.02,0.03,4.5,69048.0,"https://m.media-amazon.com/images/I/51QnuLIY2uL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_1318203031_sccl_3/000-0000000-0000000?psc=1,The Power of Your Subconscious Mind,15.0,0.68,0.21,0.07,0.02,0.03,4.5,69048.0,"https://m.media-amazon.com/images/I/41+CqNWoutS._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Art-War-Sun-Tzu/dp/8172345240/ref=zg_bs_1318203031_sccl_4/000-0000000-0000000?psc=1,The Art of War,31.5,0.6,0.23,0.1,0.03,0.04,4.3,11260.0,"https://m.media-amazon.com/images/I/41swegQzq1S._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211/ref=zg_bs_1318203031_sccl_7/000-0000000-0000000?psc=1,"Brief History Of Time, A (L)",156.0,0.72,0.2,0.05,0.01,0.02,4.6,19706.0,"https://m.media-amazon.com/images/I/51SWYYvk+KL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_1318203031_sccl_10/000-0000000-0000000?psc=1,Masala Lab: The Science of Indian Cookin,263.15,0.66,0.22,0.08,0.02,0.02,4.5,2032.0,"https://m.media-amazon.com/images/I/51pjN7mAaTL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Political-Physical-Constitution-History-Geography/dp/B09FYDRDM8/ref=zg_bs_1318203031_sccl_11/000-0000000-0000000?psc=1,"India & World Map ( Both Political & Physical ) with Constitution of India , Indian History , Indian Economy & Geographical Terms Chart | Set Of 8 | Useful for UPSC and other competitive exam preparation | by Hivex Publication",140.0,0.77,0.13,0.04,0.01,0.04,4.6,897.0,"https://m.media-amazon.com/images/I/51Pi6Lvg-sL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Hooked-How-Build-Habit-Forming-Products/dp/0241184835/ref=zg_bs_1318203031_sccl_13/000-0000000-0000000?psc=1,Hooked: How to Build Habit-Forming Products,284.05,0.69,0.22,0.07,0.01,0.01,4.6,5053.0,"https://m.media-amazon.com/images/I/51DlnjccG-L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=zg_bs_1318203031_sccl_16/000-0000000-0000000?psc=1,Physics Galaxy 2020-21 : Advanced Illustration in Physics,370.0,0.75,0.16,0.03,0.02,0.04,4.6,1450.0,"https://m.media-amazon.com/images/I/41KzdOwOjZL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Relativity-Special-General-Albert-Einstein/dp/8175994657/ref=zg_bs_1318203031_sccl_18/000-0000000-0000000?psc=1,Relativity: The Special And The General Theory,865.0,0.72,0.18,0.06,0.02,0.02,4.5,4084.0,"https://m.media-amazon.com/images/I/51w84cIAmoS._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Chapterwise-Topicwise-Solved-Papers-Physics/dp/9355553447/ref=zg_bs_1318203031_sccl_20/000-0000000-0000000?psc=1,MTG CBSE 10 Years Chapterwise Topicwise Solved Papers Class 12 Physics - CBSE Champion For Exam 2023,319.0,0.63,0.24,0.06,0.02,0.06,4.4,126.0,"https://m.media-amazon.com/images/I/515G0Af5k5L._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Song-Cell-Exploration-Medicine-Human/dp/067009272X/ref=zg_bs_1318203031_sccl_22/000-0000000-0000000?psc=1,The Song Of The Cell: An Exploration Of: An Exploration of Medicine and the New Human,359.31,0.76,0.17,0.04,0.01,0.02,4.6,973.0,"https://m.media-amazon.com/images/I/41hCMovVMdL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_1318203031_sccl_24/000-0000000-0000000?psc=1,Behave: The bestselling exploration of why humans behave as they do,398.05,0.73,0.18,0.04,0.02,0.03,4.6,6218.0,"https://m.media-amazon.com/images/I/51CjTBRdzpL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/BIOCHEMISTRY-Rapid-Revision-Handwritten-Notes/dp/B08YNRWYSB/ref=zg_bs_1318203031_sccl_27/000-0000000-0000000?psc=1,BIOCHEMISTRY Rapid Revision Handwritten Notes,599.0,0.7,0.22,0.03,0.01,0.04,4.5,417.0,"https://m.media-amazon.com/images/I/51INhyIFnpL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Essays-That-Will-Change-Think/dp/1804221740/ref=zg_bs_1318203031_sccl_1/000-0000000-0000000?psc=1,101 Essays That Will Change The Way You Think,344.0,0.65,0.19,0.08,0.03,0.06,4.3,11291.0,"https://m.media-amazon.com/images/I/31UvD8m-+eL._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Myth-Normal-Illness-Healing-Culture/dp/1785042726/ref=zg_bs_1318203031_sccl_2/000-0000000-0000000?psc=1,"The Myth of Normal (Lead Title): Trauma, Illness & Healing in a Toxic Culture",353.41,0.85,0.1,0.03,0.01,0.02,4.7,1783.0,"https://m.media-amazon.com/images/I/41q3aGvQ35L._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Digital-Minimalism-Choosing-Focused-Noisy/dp/0241453577/ref=zg_bs_1318203031_sccl_3/000-0000000-0000000?psc=1,Digital Minimalism: Choosing a Focused Life in a Noisy World,342.0,0.63,0.24,0.1,0.01,0.02,4.5,4981.0,"https://m.media-amazon.com/images/I/31GWeOjGd5L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Ghai-Essential-Pediatrics-9e-Paul/dp/9387964108/ref=zg_bs_1318203031_sccl_4/000-0000000-0000000?psc=1,Ghai Essential Pediatrics 9Ed (Hb 2019),964.0,0.73,0.2,0.04,0.01,0.02,4.6,1935.0,"https://m.media-amazon.com/images/I/41yKok-TeML._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Encyclopedia-General-Science-Competitions/dp/9325293307/ref=zg_bs_1318203031_sccl_5/000-0000000-0000000?psc=1,Encyclopedia of General Science for General Competitions,200.45,0.57,0.26,0.08,0.02,0.07,4.2,1113.0,"https://m.media-amazon.com/images/I/51MOiEWYnZL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/NCC-Handbook-Cadets-Certificate-Examinations/dp/9387918572/ref=zg_bs_1318203031_sccl_7/000-0000000-0000000?psc=1,"NCC: Handbook of NCC Cadets for 'A', 'B' and 'C' Certificate Examinations",125.6,0.7,0.2,0.05,0.01,0.04,4.5,1240.0,"https://m.media-amazon.com/images/I/51sfb1K8XjL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
