URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Kitne-Ghazi-Aye-Gaye-Sacrifice/dp/0670097055/ref=zg_bs_1318216031_sccl_2/000-0000000-0000000?psc=1,Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years.,465.5,0.92,0.04,0.02,0.01,0.01,4.8,136.0,"https://m.media-amazon.com/images/I/51AKsbDlCjL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_1318216031_sccl_3/000-0000000-0000000?psc=1,Sapiens: A Brief History of Humankind,179.7,0.76,0.18,0.04,0.01,0.01,4.7,78990.0,"https://m.media-amazon.com/images/I/41yu2qXhXXL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_1318216031_sccl_4/000-0000000-0000000?psc=1,"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",89.92,0.65,0.23,0.07,0.02,0.02,4.5,60215.0,"https://m.media-amazon.com/images/I/41ZgK6u73qL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_1318216031_sccl_5/000-0000000-0000000?psc=1,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,193.8,0.76,0.18,0.04,0.01,0.02,4.6,12644.0,"https://m.media-amazon.com/images/I/31bDtgec8NL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_1318216031_sccl_6/000-0000000-0000000?psc=1,"Thinking, Fast and Slow (Penguin Press Non-Fiction) [Paperback] Daniel Kahneman",109.0,0.68,0.2,0.07,0.02,0.03,4.5,21280.0,"https://m.media-amazon.com/images/I/41r2OmyhA+L._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_1318216031_sccl_7/000-0000000-0000000?psc=1,THE SILENT PATIENT,178.42,0.64,0.26,0.07,0.01,0.02,4.5,163822.0,"https://m.media-amazon.com/images/I/51oVTRsjcqL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Power-Subconscious-Premium-Paperback-Penguin/dp/0143453602/ref=zg_bs_1318216031_sccl_8/000-0000000-0000000?psc=1,"The Power of Your Subconscious Mind (PREMIUM PAPERBACK, PENGUIN INDIA)",79.8,0.67,0.21,0.07,0.02,0.03,4.5,4150.0,"https://m.media-amazon.com/images/I/41WX6XCA5QL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Tuesdays-Morrie-young-greatest-lesson/dp/0751527378/ref=zg_bs_1318216031_sccl_9/000-0000000-0000000?psc=1,TUESDAYS WITH MORRIE (EXPORT) (A FORMAT),113.28,0.72,0.19,0.06,0.01,0.01,4.6,16301.0,"https://m.media-amazon.com/images/I/41ZzHcgFUWS._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_1318216031_sccl_10/000-0000000-0000000?psc=1,Word Power Made Easy [Paperback] Norman Lewis,93.0,0.65,0.21,0.07,0.02,0.04,4.4,45765.0,"https://m.media-amazon.com/images/I/51uqB0IaBVL._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/ShrimadBhagavadGita-%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%97%E0%A4%B5%E0%A4%A6%E0%A5%8D%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%BE-%E0%A4%AD%E0%A4%BE%E0%A4%97-%E0%A5%A7-Acharya-Prashant/dp/9392657579/ref=zg_bs_1318216031_sccl_11/000-0000000-0000000?psc=1,ShrimadBhagavadGita Bhaag 1 / श्रीमद्भगवद्गीता भाग-१ By Acharya Prashant,100.0,0.92,0.04,0.02,0.01,0.01,4.9,405.0,"https://m.media-amazon.com/images/I/414dQBVCFCL._SY344_BO1,204,203,200_.jpg"
