URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Yuktahaar-Belly-Brain-Munmun-Ganeriwal/dp/0143454382/ref=zg_bs_1318224031_sccl_2/000-0000000-0000000?psc=1,Yuktahaar: The Belly And Brain Diet,177.65,0.7,0.15,0.07,0.04,0.04,4.4,297.0,"https://m.media-amazon.com/images/I/41+SXhBXMNL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Icebreaker-Hannah-Grace/dp/1398525685/ref=zg_bs_1318224031_sccl_4/000-0000000-0000000?psc=1,Icebreaker,184.2,0.64,0.26,0.08,0.02,0.01,4.5,31641.0,"https://m.media-amazon.com/images/I/414+9DGvHsL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Bobby-Fischer-Teaches-Chess/dp/0553263153/ref=zg_bs_1318224031_sccl_5/000-0000000-0000000?psc=1,Bobby Fischer Teaches Chess,313.0,0.58,0.2,0.09,0.03,0.1,4.1,8017.0,"https://m.media-amazon.com/images/I/51LGISuYTkL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Book-Five-Rings-Hardcover-Library/dp/9389440556/ref=zg_bs_1318224031_sccl_6/000-0000000-0000000?psc=1,The Book of Five Rings (Hardcover Library Edition),0.0,0.64,0.19,0.1,0.03,0.04,4.4,2830.0,"https://m.media-amazon.com/images/I/61mWGlVjqQL._SX258_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Sultan-Memoir-Wasim-Akram/dp/9356294623/ref=zg_bs_1318224031_sccl_7/000-0000000-0000000?psc=1,Sultan : A Memoir,279.5,0.61,0.24,0.1,0.03,0.01,4.4,261.0,"https://m.media-amazon.com/images/I/41hPEjRfQfL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Colouring-Books-Collections-InIkao-12/dp/8193628403/ref=zg_bs_1318224031_sccl_8/000-0000000-0000000?psc=1,Colouring Books Collections by InIkao (12 Books) : Pack of 12 Copy Color Books For Kids ( beginners step towards drawing ),287.0,0.63,0.24,0.09,0.02,0.02,4.4,3227.0,"https://m.media-amazon.com/images/I/51NiEDfvFBL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Dhoni-Touch-Unravelling-Enigma-Mahendra/dp/0143440063/ref=zg_bs_1318224031_sccl_9/000-0000000-0000000?psc=1,"Dhoni Touch, The: Unravelling the Enigma",145.16,0.71,0.18,0.06,0.02,0.03,4.5,1185.0,"https://m.media-amazon.com/images/I/51JKJ8ANWlS._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Book-Five-Rings-Miyamoto-Musashi/dp/9395741066/ref=zg_bs_1318224031_sccl_10/000-0000000-0000000?psc=1,The Book Of Five Rings,0.0,0.64,0.19,0.1,0.03,0.04,4.4,2830.0,"https://m.media-amazon.com/images/I/41Cg85YAGRL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Breath-Lost-Science-Misunderstood-Function/dp/0241289084/ref=zg_bs_1318224031_sccl_12/000-0000000-0000000?psc=1,Breath: The New Science of a Lost Art,265.06,0.7,0.21,0.06,0.01,0.02,4.6,22201.0,"https://m.media-amazon.com/images/I/41qVmO1U+nL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=6677467a828b9bef9f036f8893aae921&url=https://www.amazon.in/Playing-My-Way-Sachin-Tendulkar/dp/1473605172/ref=zg_bs_1318224031_sccl_13/000-0000000-0000000?psc=1,PLAYING IT MY WAY,267.62,0.71,0.18,0.07,0.02,0.02,4.5,4543.0,"https://m.media-amazon.com/images/I/41PrmmLat4L._SY344_BO1,204,203,200_.jpg"
