URL,Title,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_1318295031_sccl_2/000-0000000-0000000?psc=1,Masala Lab: The Science of Indian Cookin,263.15,0.66,0.22,0.08,0.02,0.02,4.5,2032.0,"https://m.media-amazon.com/images/I/51pjN7mAaTL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/World-Map-Dreamland-Publications/dp/8184511213/ref=zg_bs_1318295031_sccl_3/000-0000000-0000000?psc=1,World Map - Laminated Both Sides,84.0,0.63,0.21,0.08,0.03,0.05,4.3,9920.0,"https://m.media-amazon.com/images/I/51x87LViNyL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Journey-Continues-Sequel-Apprenticed-Himalayan/dp/9382585249/ref=zg_bs_1318295031_sccl_4/000-0000000-0000000?psc=1,"Journey Continues, The: A sequel to Appr",345.0,0.82,0.12,0.04,0.01,0.01,4.7,1692.0,"https://m.media-amazon.com/images/I/51o5OTj4tWL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Where-Never-Sets-Signed-author/dp/014345367X/ref=zg_bs_1318295031_sccl_5/000-0000000-0000000?psc=1,Where the Sun Never Sets (Signed by the author),156.94,0.42,0.39,0.14,0.02,0.03,4.1,220.0,"https://m.media-amazon.com/images/I/41KV6SYRp9L._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Normal-People-Sally-Rooney/dp/0571334652/ref=zg_bs_1318295031_sccl_6/000-0000000-0000000?psc=1,Normal People: One million copies sold,188.46,0.45,0.3,0.17,0.05,0.03,4.1,65850.0,"https://m.media-amazon.com/images/I/41GYdmRrksL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/India-Map-Dreamland-Publications/dp/8184511523/ref=zg_bs_1318295031_sccl_7/000-0000000-0000000?psc=1,India Map (Laminated Both Sides ) - With New Union Territories of Jammu & Kashmir and Ladakh,84.0,0.65,0.21,0.07,0.03,0.04,4.4,5691.0,"https://m.media-amazon.com/images/I/51pGL20Yx2L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Half-Known-Life-Search-Paradise/dp/0670098299/ref=zg_bs_1318295031_sccl_8/000-0000000-0000000?psc=1,The Half Known Life: In Search of Paradi: In Search of Paradise,269.04,0.44,0.33,0.15,0.03,0.04,4.1,79.0,"https://m.media-amazon.com/images/I/412LOw47IHL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Zen-Simple-Living-Shunmyo-Masuno/dp/024137183X/ref=zg_bs_1318295031_sccl_10/000-0000000-0000000?psc=1,Zen: The Art of Simple Living,297.31,0.71,0.18,0.07,0.02,0.02,4.6,2682.0,"https://m.media-amazon.com/images/I/41rkNNOWURL._SY344_BO1,204,203,200_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Bruised-Passports-Travelling-Digital-Nomads/dp/9354893996/ref=zg_bs_1318295031_sccl_11/000-0000000-0000000?psc=1,Bruised Passports : Travelling the World as Digital Nomads,223.3,0.62,0.17,0.13,0.04,0.03,4.3,246.0,"https://m.media-amazon.com/images/I/41TxUmdg6hL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/India-World-Political-Map-LAMINATED/dp/B08WCNLHQP/ref=zg_bs_1318295031_sccl_13/000-0000000-0000000?psc=1,India and World Political Map - LAMINATED | Size - 70×100cm | India Map | World Map,289.0,0.72,0.14,0.08,0.02,0.05,4.5,150.0,"https://m.media-amazon.com/images/I/51WVLRt7qVL._SX198_BO1,204,203,200_QL40_ML2_.jpg"
